,rank,seasons,titlesWon,leaguesWon,divsWon1,divsWon2,divsWon3,cupsWon6,cupsWon5,cupsWon4,cupsWon3,cupsWon2,cupsWon1,cupsWon0,totalCupsWon,cupsEntered,cupWinPercent,promotions,relegations,wins,ties,losses,maxDivision,goals,goalsAgainst,averageGoalsPerGame,averageGoalsAgainstPerGame,cleanSheets,starLevel,agreggateRecord,clubName,clubId,currentDivision,rankingPoints,clubInfo,platform
0,12002,294,271,262,2,4,3,0,0,0,0,0,0,0,0,0,0,9,0,2248,178,121,10,8549,1314,3.36,0.52,0,10,2248-178-121,Tiki XI,2370013,10,12002,"{'name': 'Tiki XI', 'clubId': 2370013, 'regionId': 5457237, 'teamId': 111768, 'customKit': {'stadName': 'Anfield', 'kitId': '915603457', 'isCustomTeam': '0', 'customKitId': '7532', 'customAwayKitId': '7534', 'customKeeperKitId': '5028', 'kitColor1': '7719080', 'kitColor2': '7122142', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '16464712', 'kitAColor2': '12702174', 'kitAColor3': '592397', 'kitAColor4': '1909296', 'dCustomKit': '1', 'crestColor': '10278653', 'crestAssetId': '99090301'}}",ps5
1,11530,189,114,105,2,4,3,0,0,0,0,0,0,0,0,0,0,10,1,1238,221,222,10,4084,1225,2.43,0.73,0,10,1238-221-222,MIA SAN MIA,16973,10,11530,"{'name': 'MIA SAN MIA', 'clubId': 16973, 'regionId': 4281153, 'teamId': 21, 'customKit': {'stadName': 'El Alcoraz', 'kitId': '344064', 'isCustomTeam': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customKeeperKitId': '5013', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160106'}}",ps5
2,11507,223,207,198,2,4,3,1,0,1,0,0,0,1,1,1,100,9,0,1701,136,107,10,6184,1333,3.18,0.69,0,10,1701-136-107,I JINCHURIKI I,1523768,10,11507,"{'name': 'I JINCHURIKI I', 'clubId': 1523768, 'regionId': 5457237, 'teamId': 22, 'customKit': {'stadName': 'KONOHA', 'kitId': '180225', 'isCustomTeam': '0', 'customKitId': '7622', 'customAwayKitId': '7600', 'customKeeperKitId': '5011', 'kitColor1': '14358546', 'kitColor2': '16774144', 'kitColor3': '16774144', 'kitColor4': '16774144', 'kitAColor1': '592397', 'kitAColor2': '1909296', 'kitAColor3': '592397', 'kitAColor4': '14358546', 'dCustomKit': '0', 'crestColor': '13179675', 'crestAssetId': '99160501'}}",ps5
3,11309,294,162,150,5,4,3,0,0,0,0,0,0,0,0,1,0,14,5,1892,321,438,10,6912,2808,2.61,1.06,0,10,1892-321-438,xXCECIFOOTXx,3498998,10,11309,"{'name': 'xXCECIFOOTXx', 'clubId': 3498998, 'regionId': 5457237, 'teamId': 113394, 'customKit': {'stadName': 'Estadio Santiago Bernabéu', 'kitId': '928923649', 'isCustomTeam': '0', 'customKitId': '7673', 'customAwayKitId': '7645', 'customKeeperKitId': '5020', 'kitColor1': '592397', 'kitColor2': '4002593', 'kitColor3': '8268347', 'kitColor4': '16774144', 'kitAColor1': '7192366', 'kitAColor2': '16045584', 'kitAColor3': '592397', 'kitAColor4': '592397', 'dCustomKit': '0', 'crestColor': '16495884', 'crestAssetId': '99160802'}}",ps5
4,11184,1175,709,678,24,4,3,2,0,0,0,0,0,1,0,0,0,36,27,7799,1098,1731,10,31595,12641,2.97,1.19,0,10,7799-1098-1731,The Champions,18353,10,11184,"{'name': 'The Champions', 'clubId': 18353, 'regionId': 5064001, 'teamId': 379, 'customKit': {'stadName': 'San Siro', 'kitId': '3104771', 'isCustomTeam': '0', 'customKitId': '7645', 'customAwayKitId': '7540', 'customKeeperKitId': '5003', 'kitColor1': '16464712', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '7192366', 'kitAColor3': '7192366', 'kitAColor4': '592397', 'dCustomKit': '0', 'crestColor': '116423', 'crestAssetId': '99010606'}}",ps5
5,11143,131,96,86,3,4,3,0,0,3,0,0,0,0,3,5,60,11,2,909,132,130,10,3485,1171,2.98,1.00,0,10,909-132-130,fc méditéranné,14158290,10,11143,"{'name': 'fc méditéranné', 'clubId': 14158290, 'regionId': 5457237, 'teamId': 219, 'customKit': {'stadName': 'Orange Vélodrome', 'kitId': '1794048', 'isCustomTeam': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customKeeperKitId': '5013', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160706'}}",ps5
6,11120,417,332,321,4,4,3,0,0,0,0,0,0,0,0,0,0,12,3,3008,350,385,10,12215,3891,3.26,1.04,0,10,3008-350-385,New BangZ,2661213,10,11120,"{'name': 'New BangZ', 'clubId': 2661213, 'regionId': 5723475, 'teamId': 110062, 'customKit': {'stadName': 'King Abdullah Sports City', 'kitId': '901627904', 'isCustomTeam': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customKeeperKitId': '5013', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160814'}}",ps5
7,11060,449,181,148,24,6,3,0,0,0,0,0,0,0,0,2,0,43,34,2533,619,941,10,10548,6121,2.58,1.50,0,10,2533-619-941,POWER5,2557443,10,11060,"{'name': 'POWER5', 'clubId': 2557443, 'regionId': 5064001, 'teamId': 1366, 'customKit': {'stadName': 'no discount', 'kitId': '11190272', 'isCustomTeam': '0', 'customKitId': '7850', 'customAwayKitId': '7850', 'customKeeperKitId': '5003', 'kitColor1': '16464712', 'kitColor2': '14358546', 'kitColor3': '22436', 'kitColor4': '592397', 'kitAColor1': '16774144', 'kitAColor2': '16045584', 'kitAColor3': '1259409', 'kitAColor4': '592397', 'dCustomKit': '1', 'crestColor': '16244746', 'crestAssetId': '99080710'}}",ps5
8,10957,495,357,350,2,2,3,1,0,1,1,0,0,0,2,5,40,12,3,3497,363,592,10,14598,5275,3.28,1.18,0,10,3497-363-592,THE GÖAT§,8595988,10,10957,"{'name': 'THE GÖAT§', 'clubId': 8595988, 'regionId': 5064001, 'teamId': 18, 'customKit': {'stadName': 'otbci', 'kitId': '147459', 'isCustomTeam': '0', 'customKitId': '7627', 'customAwayKitId': '7565', 'customKeeperKitId': '5010', 'kitColor1': '6316643', 'kitColor2': '15921906', 'kitColor3': '592397', 'kitColor4': '15921906', 'kitAColor1': '14935011', 'kitAColor2': '1336871', 'kitAColor3': '15921906', 'kitAColor4': '1336871', 'dCustomKit': '0', 'crestColor': '16777215', 'crestAssetId': '99090201'}}",ps5
9,10920,325,220,210,4,4,2,0,0,0,0,0,0,0,0,0,0,13,4,2244,263,431,10,9598,4002,3.27,1.36,0,10,2244-263-431,Death fight,3868708,10,10920,"{'name': 'Death fight', 'clubId': 3868708, 'regionId': 5064001, 'teamId': 234, 'customKit': {'stadName': 'Old Trafford', 'kitId': '1916928', 'isCustomTeam': '0', 'customKitId': '7533', 'customAwayKitId': '7509', 'customKeeperKitId': '5027', 'kitColor1': '22436', 'kitColor2': '14935011', 'kitColor3': '15921906', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'dCustomKit': '0', 'crestColor': '10278653', 'crestAssetId': '99160305'}}",ps5
10,10905,110,56,42,7,4,3,0,0,0,0,0,0,0,0,0,0,16,7,677,108,208,10,2913,1343,2.93,1.35,0,10,677-108-208,Alloutattack,31523,10,10905,"{'name': 'Alloutattack', 'clubId': 31523, 'regionId': 4281153, 'teamId': 243, 'customKit': {'stadName': 'Estadio Santiago Bernabéu', 'kitId': '1990657', 'isCustomTeam': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customKeeperKitId': '5013', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160529'}}",ps5
11,10863,168,139,129,3,4,3,5,0,0,0,0,0,0,0,1,0,10,1,1228,116,140,10,4787,1394,3.23,0.94,0,10,1228-116-140,xFoot 2 Rue,3320883,10,10863,"{'name': 'xFoot 2 Rue', 'clubId': 3320883, 'regionId': 5457237, 'teamId': 44, 'customKit': {'stadName': 'Orange Vélodrome', 'kitId': '720896', 'isCustomTeam': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customKeeperKitId': '5013', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160704'}}",ps5
12,10853,79,62,53,2,4,3,0,0,0,0,0,0,0,0,0,0,9,0,558,76,69,10,2195,573,3.12,0.82,0,10,558-76-69,Black Pearl VFC,2670783,10,10853,"{'name': 'Black Pearl VFC', 'clubId': 2670783, 'regionId': 4804164, 'teamId': 112893, 'customKit': {'stadName': 'P"" Ming N"" Pao Stadium', 'kitId': '924819457', 'isCustomTeam': '0', 'customKitId': '7624', 'customAwayKitId': '7627', 'customKeeperKitId': '5010', 'kitColor1': '1841428', 'kitColor2': '15921906', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '15101200', 'kitAColor2': '16687883', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'dCustomKit': '1', 'crestColor': '-1', 'crestAssetId': '99160211'}}",ps5
13,10755,234,206,197,2,4,3,2,0,0,0,0,0,0,0,0,0,9,0,1761,145,184,10,6873,1905,3.29,0.91,0,10,1761-145-184,xReal Footballx,2341158,10,10755,"{'name': 'xReal Footballx', 'clubId': 2341158, 'regionId': 4344147, 'teamId': 561, 'customKit': {'stadName': 'x RxF x', 'kitId': '4595713', 'isCustomTeam': '0', 'customKitId': '7528', 'customAwayKitId': '7634', 'customKeeperKitId': '5020', 'kitColor1': '1841428', 'kitColor2': '16774144', 'kitColor3': '16774144', 'kitColor4': '16774144', 'kitAColor1': '15921906', 'kitAColor2': '16774144', 'kitAColor3': '15921906', 'kitAColor4': '592397', 'dCustomKit': '1', 'crestColor': '0', 'crestAssetId': '99160118'}}",ps5
14,10717,192,159,150,2,4,3,0,0,0,0,0,0,0,0,0,0,9,0,1410,133,170,10,5764,1888,3.36,1.10,0,10,1410-133-170,x Kraky Family,4003593,10,10717,"{'name': 'x Kraky Family', 'clubId': 4003593, 'regionId': 5457237, 'teamId': 219, 'customKit': {'stadName': 'Orange Vélodrome', 'kitId': '1794048', 'isCustomTeam': '0', 'customKitId': '7516', 'customAwayKitId': '7509', 'customKeeperKitId': '5013', 'kitColor1': '8237531', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '11670838', 'kitAColor2': '22436', 'kitAColor3': '7122142', 'kitAColor4': '15921906', 'dCustomKit': '1', 'crestColor': '-1', 'crestAssetId': '99160304'}}",ps5
15,10667,105,49,38,4,4,3,0,0,0,0,0,0,0,0,0,0,13,5,625,119,195,10,2720,1311,2.90,1.40,0,10,625-119-195,At Your Side HK,14208,9,10667,"{'name': 'At Your Side HK', 'clubId': 14208, 'regionId': 4281153, 'teamId': 112172, 'customKit': {'stadName': 'Longville Stadium', 'kitId': '1837826049', 'isCustomTeam': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customKeeperKitId': '5013', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99161129'}}",ps5
16,10603,130,128,118,3,4,3,1,0,0,0,0,0,0,0,0,0,10,1,1011,29,37,10,3874,442,3.60,0.41,0,10,1011-29-37,II Ruthless II,2928263,10,10603,"{'name': 'II Ruthless II', 'clubId': 2928263, 'regionId': 5457237, 'teamId': 112999, 'customKit': {'stadName': 'O Dromo', 'kitId': '1851375616', 'isCustomTeam': '0', 'customKitId': '7541', 'customAwayKitId': '7541', 'customKeeperKitId': '5012', 'kitColor1': '2704542', 'kitColor2': '22436', 'kitColor3': '8237531', 'kitColor4': '8237531', 'kitAColor1': '592397', 'kitAColor2': '1841428', 'kitAColor3': '8237531', 'kitAColor4': '8237531', 'dCustomKit': '1', 'crestColor': '1987272', 'crestAssetId': '99090413'}}",ps5
17,10581,356,248,237,4,4,3,1,0,1,1,0,0,0,2,6,33,13,4,2464,319,430,10,9993,3672,3.11,1.14,0,10,2464-319-430,LES KILLERS,309173,10,10581,"{'name': 'LES KILLERS', 'clubId': 309173, 'regionId': 5457237, 'teamId': 112172, 'customKit': {'stadName': 'Estadio Santiago Bernabéu', 'kitId': '918913024', 'isCustomTeam': '0', 'customKitId': '7540', 'customAwayKitId': '7540', 'customKeeperKitId': '5004', 'kitColor1': '15130831', 'kitColor2': '15101200', 'kitColor3': '15101200', 'kitColor4': '15101200', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'dCustomKit': '0', 'crestColor': '0', 'crestAssetId': '99160122'}}",ps5
18,10572,149,115,107,1,4,3,0,0,0,0,0,0,0,0,0,0,9,0,1067,120,122,10,3827,882,2.92,0.67,0,10,1067-120-122,LOS DAHALO,1720188,10,10572,"{'name': 'LOS DAHALO', 'clubId': 1720188, 'regionId': 5457237, 'teamId': 7, 'customKit': {'stadName': 'DAHALO STADIUM', 'kitId': '57345', 'isCustomTeam': '0', 'customKitId': '7670', 'customAwayKitId': '7509', 'customKeeperKitId': '5020', 'kitColor1': '3554112', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '15921906', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160514'}}",ps5
19,10491,119,99,90,2,4,3,1,0,0,0,0,0,0,0,0,0,9,0,862,103,85,10,3170,941,3.02,0.90,0,10,862-103-85,Rhumerie fc,5832773,10,10491,"{'name': 'Rhumerie fc', 'clubId': 5832773, 'regionId': 5457237, 'teamId': 483, 'customKit': {'stadName': 'Old Trafford', 'kitId': '7913472', 'isCustomTeam': '0', 'customKitId': '7534', 'customAwayKitId': '7534', 'customKeeperKitId': '5004', 'kitColor1': '15921906', 'kitColor2': '16464712', 'kitColor3': '16464712', 'kitColor4': '1841428', 'kitAColor1': '1841428', 'kitAColor2': '15921906', 'kitAColor3': '1841428', 'kitAColor4': '15921906', 'dCustomKit': '1', 'crestColor': '0', 'crestAssetId': '99160122'}}",ps5
20,10442,201,119,101,11,4,3,6,0,1,2,0,0,1,3,8,37,22,13,1288,184,311,10,5460,2323,3.06,1.30,0,10,1288-184-311,Bengal Tiger FC,601638,10,10442,"{'name': 'Bengal Tiger FC', 'clubId': 601638, 'regionId': 4344147, 'teamId': 1, 'customKit': {'stadName': 'Hyde Park', 'kitId': '8192', 'isCustomTeam': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customKeeperKitId': '5013', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99161013'}}",ps5
21,10395,673,455,439,9,4,3,2,0,0,0,0,0,0,0,2,0,18,9,4661,589,814,10,18944,6884,3.12,1.14,0,10,4661-589-814,3RB w 6RB,2220478,10,10395,"{'name': '3RB w 6RB', 'clubId': 2220478, 'regionId': 5064001, 'teamId': 111710, 'customKit': {'stadName': '3rb w 6rb', 'kitId': '915128321', 'isCustomTeam': '0', 'customKitId': '7665', 'customAwayKitId': '7665', 'customKeeperKitId': '5026', 'kitColor1': '4002593', 'kitColor2': '6316643', 'kitColor3': '15245824', 'kitColor4': '15245824', 'kitAColor1': '15921906', 'kitAColor2': '592397', 'kitAColor3': '15921906', 'kitAColor4': '1841428', 'dCustomKit': '0', 'crestColor': '16495884', 'crestAssetId': '99160827'}}",ps5
22,10376,390,271,260,6,2,3,10,0,1,0,0,0,0,1,2,50,20,11,2688,324,480,10,11534,4359,3.30,1.25,0,10,2688-324-480,Dynamo UKFC,3418758,10,10376,"{'name': 'Dynamo UKFC', 'clubId': 3418758, 'regionId': 4543827, 'teamId': 503, 'customKit': {'stadName': 'Blakey Bridge', 'kitId': '4120577', 'isCustomTeam': '0', 'customKitId': '7524', 'customAwayKitId': '7535', 'customKeeperKitId': '5013', 'kitColor1': '14935011', 'kitColor2': '592397', 'kitColor3': '16696614', 'kitColor4': '16464712', 'kitAColor1': '1713203', 'kitAColor2': '1256053', 'kitAColor3': '16045584', 'kitAColor4': '16045584', 'dCustomKit': '1', 'crestColor': '13543260', 'crestAssetId': '99161111'}}",ps5
23,10369,159,98,89,2,4,3,2,0,0,0,0,0,0,0,0,0,11,2,1065,147,212,10,4094,1576,2.88,1.11,0,10,1065-147-212,FC Parcelona,132073,10,10369,"{'name': 'FC Parcelona', 'clubId': 132073, 'regionId': 4344147, 'teamId': 241, 'customKit': {'stadName': 'El Grandioso', 'kitId': '1974273', 'isCustomTeam': '0', 'customKitId': '7647', 'customAwayKitId': '7629', 'customKeeperKitId': '5013', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '22436', 'kitColor4': '22436', 'kitAColor1': '22436', 'kitAColor2': '15921906', 'kitAColor3': '592397', 'kitAColor4': '15921906', 'dCustomKit': '0', 'crestColor': '0', 'crestAssetId': '99110101'}}",ps5
24,10257,212,109,97,6,3,3,2,0,0,0,0,0,0,0,1,0,16,7,1350,194,375,10,5908,2555,3.08,1.33,0,10,1350-194-375,Khobar 76 Wjhk,1913503,10,10257,"{'name': 'Khobar 76 Wjhk', 'clubId': 1913503, 'regionId': 5064001, 'teamId': 111473, 'customKit': {'stadName': 'Stamford Bridge', 'kitId': '913186816', 'isCustomTeam': '0', 'customKitId': '7665', 'customAwayKitId': '7514', 'customKeeperKitId': '5004', 'kitColor1': '15921906', 'kitColor2': '9838384', 'kitColor3': '9838384', 'kitColor4': '9838384', 'kitAColor1': '592397', 'kitAColor2': '1909296', 'kitAColor3': '1909296', 'kitAColor4': '15921906', 'dCustomKit': '0', 'crestColor': '10278653', 'crestAssetId': '99140309'}}",ps5
25,10243,93,93,84,2,4,3,0,0,0,0,0,0,0,0,0,0,9,0,725,22,24,10,2989,584,3.88,0.76,0,10,725-22-24,Quatro Vision,2306143,10,10243,"{'name': 'Quatro Vision', 'clubId': 2306143, 'regionId': 5457237, 'teamId': 113892, 'customKit': {'stadName': 'Parc des Princes', 'kitId': '933003264', 'isCustomTeam': '0', 'customKitId': '7647', 'customAwayKitId': '7649', 'customKeeperKitId': '5018', 'kitColor1': '592397', 'kitColor2': '7719080', 'kitColor3': '15921906', 'kitColor4': '15921906', 'kitAColor1': '1482375', 'kitAColor2': '1841428', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'dCustomKit': '0', 'crestColor': '116423', 'crestAssetId': '99161218'}}",ps5
26,10229,196,104,93,6,2,3,0,0,0,0,0,0,0,0,0,0,15,6,1255,161,355,10,5349,2549,3.02,1.44,0,10,1255-161-355,D A R K 1,3085008,10,10229,"{'name': 'D A R K 1', 'clubId': 3085008, 'regionId': 5064001, 'teamId': 111111, 'customKit': {'stadName': 'Cívitas METROPOLITANO', 'kitId': '910221312', 'isCustomTeam': '0', 'customKitId': '7641', 'customAwayKitId': '7800', 'customKeeperKitId': '5010', 'kitColor1': '592397', 'kitColor2': '15921906', 'kitColor3': '15921906', 'kitColor4': '15921906', 'kitAColor1': '15921906', 'kitAColor2': '592397', 'kitAColor3': '592397', 'kitAColor4': '592397', 'dCustomKit': '0', 'crestColor': '1987272', 'crestAssetId': '99160418'}}",ps5
27,10193,143,103,94,2,4,3,2,0,1,1,0,0,0,2,3,66,9,0,1006,114,154,10,4593,1840,3.61,1.44,0,10,1006-114-154,VERIFIED CLUB,8327533,10,10193,"{'name': 'VERIFIED CLUB', 'clubId': 8327533, 'regionId': 4344147, 'teamId': 181, 'customKit': {'stadName': 'Orange Vélodrome', 'kitId': '1482752', 'isCustomTeam': '0', 'customKitId': '7542', 'customAwayKitId': '7528', 'customKeeperKitId': '5020', 'kitColor1': '4133724', 'kitColor2': '16687883', 'kitColor3': '5775459', 'kitColor4': '16687883', 'kitAColor1': '14358546', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '1841428', 'dCustomKit': '0', 'crestColor': '0', 'crestAssetId': '99130109'}}",ps5
28,10183,170,105,96,3,3,3,0,0,0,0,0,0,0,0,0,0,12,3,1118,190,249,10,4122,1713,2.65,1.10,0,10,1118-190-249,Vapor United FC,3206973,10,10183,"{'name': 'Vapor United FC', 'clubId': 3206973, 'regionId': 5457237, 'teamId': 10, 'customKit': {'stadName': 'Waldstadion', 'kitId': '163840', 'isCustomTeam': '0', 'customKitId': '7532', 'customAwayKitId': '7530', 'customKeeperKitId': '5032', 'kitColor1': '12762028', 'kitColor2': '6887227', 'kitColor3': '22436', 'kitColor4': '858211', 'kitAColor1': '6887227', 'kitAColor2': '22436', 'kitAColor3': '12762028', 'kitAColor4': '12762028', 'dCustomKit': '0', 'crestColor': '1987272', 'crestAssetId': '99010403'}}",ps5
29,10102,232,184,174,3,4,3,0,0,0,0,0,0,0,0,0,0,11,2,1667,175,213,10,7221,2411,3.51,1.17,0,10,1667-175-213,LEONIDAS,1803563,10,10102,"{'name': 'LEONIDAS', 'clubId': 1803563, 'regionId': 5723475, 'teamId': 112999, 'customKit': {'stadName': 'Estadio Santiago Bernabéu', 'kitId': '925687808', 'isCustomTeam': '0', 'customKitId': '7533', 'customAwayKitId': '7648', 'customKeeperKitId': '5013', 'kitColor1': '12762028', 'kitColor2': '592397', 'kitColor3': '7122142', 'kitColor4': '592397', 'kitAColor1': '3554112', 'kitAColor2': '6379598', 'kitAColor3': '6379598', 'kitAColor4': '15921906', 'dCustomKit': '0', 'crestColor': '0', 'crestAssetId': '99160125'}}",ps5
30,10075,129,56,45,4,4,3,0,0,0,0,0,0,0,0,0,0,12,3,787,139,238,10,3398,1793,2.92,1.54,0,10,787-139-238,Revengers CF,12845287,10,10075,"{'name': 'Revengers CF', 'clubId': 12845287, 'regionId': 5064001, 'teamId': 73, 'customKit': {'stadName': 'San Siro', 'kitId': '598016', 'isCustomTeam': '0', 'customKitId': '7539', 'customAwayKitId': '7524', 'customKeeperKitId': '5027', 'kitColor1': '3427409', 'kitColor2': '15921906', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '16687883', 'kitAColor3': '16687883', 'kitAColor4': '16687883', 'dCustomKit': '1', 'crestColor': '0', 'crestAssetId': '99160108'}}",ps5
31,9994,136,37,18,13,3,3,0,0,0,0,0,0,0,0,0,0,30,21,686,211,348,10,2790,1809,2.24,1.45,0,10,686-211-348,Un GuGu,16853,10,9994,"{'name': 'Un GuGu', 'clubId': 16853, 'regionId': 4281153, 'teamId': 5, 'customKit': {'stadName': 'Stamford Bridge', 'kitId': '81920', 'isCustomTeam': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customKeeperKitId': '5013', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99161021'}}",ps5
32,9984,233,146,130,9,4,3,0,0,0,0,0,0,0,0,0,0,16,7,1545,212,339,10,7163,3481,3.42,1.66,0,10,1545-212-339,LaMoria,10337061,10,9984,"{'name': 'LaMoria', 'clubId': 10337061, 'regionId': 5457237, 'teamId': 1318, 'customKit': {'stadName': 'BORUSSIA-PARK', 'kitId': '10797056', 'isCustomTeam': '0', 'customKitId': '7625', 'customAwayKitId': '7626', 'customKeeperKitId': '5011', 'kitColor1': '14358546', 'kitColor2': '1841428', 'kitColor3': '1841428', 'kitColor4': '592397', 'kitAColor1': '15921906', 'kitAColor2': '1841428', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'dCustomKit': '1', 'crestColor': '0', 'crestAssetId': '99110101'}}",ps5
33,9967,78,38,28,3,4,3,3,0,0,3,0,0,0,3,7,42,10,1,484,90,111,10,1784,786,2.60,1.15,0,10,484-90-111,La FàbricaX,9033113,10,9967,"{'name': 'La FàbricaX', 'clubId': 9033113, 'regionId': 4344147, 'teamId': 243, 'customKit': {'stadName': 'Estadio Santiago Bernabéu', 'kitId': '3981312', 'isCustomTeam': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customKeeperKitId': '5013', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160206'}}",ps5
34,9962,143,45,24,11,7,3,0,0,0,0,0,0,0,0,0,0,32,23,740,191,363,10,3084,1975,2.38,1.53,0,10,740-191-363,Dr Stone,32203,10,9962,"{'name': 'Dr Stone', 'clubId': 32203, 'regionId': 4281153, 'teamId': 73, 'customKit': {'stadName': 'Waldstadion', 'kitId': '598016', 'isCustomTeam': '0', 'customKitId': '7648', 'customAwayKitId': '7648', 'customKeeperKitId': '5011', 'kitColor1': '11670838', 'kitColor2': '15921906', 'kitColor3': '15921906', 'kitColor4': '15921906', 'kitAColor1': '15921906', 'kitAColor2': '14358546', 'kitAColor3': '14358546', 'kitAColor4': '14358546', 'dCustomKit': '0', 'crestColor': '13179675', 'crestAssetId': '99140503'}}",ps5
35,9959,171,96,85,6,3,2,0,0,0,0,0,0,0,0,0,0,18,9,1087,167,291,10,4578,2092,2.96,1.35,0,10,1087-167-291,THE BEST KUWAIT,8408618,10,9959,"{'name': 'THE BEST KUWAIT', 'clubId': 8408618, 'regionId': 5064001, 'teamId': 47, 'customKit': {'stadName': 'Lumen Field', 'kitId': '770048', 'isCustomTeam': '0', 'customKitId': '7513', 'customAwayKitId': '7515', 'customKeeperKitId': '5004', 'kitColor1': '15921906', 'kitColor2': '14935011', 'kitColor3': '592397', 'kitColor4': '1909296', 'kitAColor1': '592397', 'kitAColor2': '1909296', 'kitAColor3': '592397', 'kitAColor4': '10066329', 'dCustomKit': '0', 'crestColor': '0', 'crestAssetId': '99160101'}}",ps5
